Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,therapeutic_area,classification_confidence,classification_method,review_type_simplified,therapeutic_area_factor,review_type_factor,regulatory_era_factor,review_time_days_response,log_review_time_days_response
Septocaine,"articaine hydrochloride, ephinephrine",Deproco,NDA,20971,NA,NA,Injectable,Injection,NA,NA,NA,NA,3/30/1998,4/3/2000,2000,"indicated for local, infiltrative, or conductive anesthesia in both simple and complex dental and periodontal procedures",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1998-03-30,2000-04-03,735,6.5998704992128365,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,735,6.5998704992128365
Visudyne,verteporfin,QLT Phototherapeutics,NDA,21119,NA,NA,Injectable,Injection,NA,NA,NA,NA,8/16/1999,4/12/2000,2000,treatment of age-related macular degeneration in patients with predominantly classic subfoveal choroidal neovascularization,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,1999-08-16,2000-04-12,240,5.480638923341991,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,240,5.480638923341991
Mobic,meloxicam,Boehringer Ingelheim Pharmaceuticals,NDA,20938,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/16/1998,4/13/2000,2000,indicated for the relief of the signs and symptoms of osteoarthritis,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1998-12-16,2000-04-13,484,6.182084906716632,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,484,6.182084906716632
Zyvox,linezolid,Pharmacia and Upjohn,NDA,21130,21131,21132,Tablet,Oral,Injectable,Injection,Suspension,Oral,10/18/1999,4/18/2000,2000,"treatment of adult patients with vancomycin-resistant Enterococcus faecium infections, nosocomial pneumonia, complicated and uncomplicated skin and skin structure infections, and community-acquired pneumonia",NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,1999-10-18,2000-04-18,183,5.209486152841421,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,183,5.209486152841421
Lantus,insulin glargine,Aventis Pharmaceuticals,BLA,21081,NA,NA,Injectable,Injection,NA,NA,NA,NA,4/23/1999,4/20/2000,2000,treatment of adult and pediatric patients with type 1 diabetes mellitus or adult patients with type 2 diabetes mellitus who require basal (long-acting) insulin for the control of hyperglycemia,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.,1999-04-23,2000-04-20,363,5.8944028342648505,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,363,5.8944028342648505
Exelon,rivastigmine tartrate,Novartis Pharmaceuticals,NDA,20823,21025,NA,Capsule,Oral,Solution,Oral,NA,NA,4/7/1997,4/21/2000,2000,treatment of mild to moderate dementia of the Alzheimer’s type,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-04-07,2000-04-21,1110,7.01211529430638,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1110,7.01211529430638
Mylotarg,gemtuzumab ozogamicin,Wyeth-Ayerst,NDA,21174,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/29/1999,5/17/2000,2000,treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for cytotoxic chemotherapy,NA,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,NA,1999-10-29,2000-05-17,201,5.303304908059076,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,201,5.303304908059076
Welchol,colesevelam hydrochloride,GelTex,NDA,21176,21141,NA,Tablet,Oral,Capsule,Oral,NA,NA,7/30/1999,5/26/2000,2000,"alone or in combination with an HMG-CoA reductase inhibitor, for the reduction of elevated LDL-cholesterol in patients with primary hypercholesterolemia (Frederickson Type IIa)",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-07-30,2000-05-26,301,5.707110264748875,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,301,5.707110264748875
TNKase,tenecteplase,Genentech,BLA,103909,NA,NA,Injectable,Injection,NA,NA,NA,NA,8/2/1999,6/2/2000,2000,indicated for reduction of mortality associated with acute myocardial infarction (AMI),NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-08-02,2000-06-02,305,5.720311776607412,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,305,5.720311776607412
Novolog,insulin aspart recombinant,Novo Nordisk,BLA,20986,NA,NA,Injectable,Subcutaneous,NA,NA,NA,NA,9/16/1998,6/7/2000,2000,"treatment of adult patients with diabetes mellitus, for the control of hyperglycemia",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.,1998-09-16,2000-06-07,630,6.4457198193855785,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,630,6.4457198193855785
Trelstar Depot,triptorelin pamoate,Debio Recherche,NDA,20715,NA,NA,Injectable,Intramuscular,NA,NA,NA,NA,6/26/1996,6/15/2000,2000,palliative treatment of advanced prostate cancer,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1996-06-26,2000-06-15,1450,7.27931883541462,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,1450,7.27931883541462
Acova,argatroban,Texas Biotechnology Corporation,NDA,20883,NA,NA,Injectable,Injection,NA,NA,NA,NA,8/15/1997,6/30/2000,2000,indicated as an anticoagulant for prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-08-15,2000-06-30,1050,6.956545443151569,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1050,6.956545443151569
Innohep,tinzaparin sodium,Dupont Pharmaceuticals,NDA,20484,NA,NA,Injectable,Injection,NA,NA,NA,NA,6/30/1999,7/14/2000,2000,treatment of acute symptomatic deep vein thrombosis with or without pulmonary embolism when administered in conjunction with warfarin sodium,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-06-30,2000-07-14,380,5.940171252720432,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,380,5.940171252720432
Colazal,balsalazide disodium,Salix Pharmaceuticals,NDA,20610,NA,NA,Capsule,Oral,NA,NA,NA,NA,6/23/1997,7/18/2000,2000,treatment of mildly to moderate active ulcerative colitis,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-06-23,2000-07-18,1121,7.02197642307216,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1121,7.02197642307216
Abreva,docosanol,Avanir Pharmaceuticals,NDA,20941,NA,NA,Cream,Topical,NA,NA,NA,NA,12/22/1997,7/25/2000,2000,treatment of cold sores and fever blisters,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-12-22,2000-07-25,946,6.852242569051878,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,946,6.852242569051878
Rescula,unoprostone isopropyl,Ciba Vision,NDA,21214,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,2/15/2000,8/3/2000,2000,indicated for the lowering of intraocular pressure in patients with open-angel glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,2000-02-15,2000-08-03,170,5.135798437050262,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,170,5.135798437050262
Cetrotide,cetrorelix acetate,Asta Medica,NDA,21197,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/29/1999,8/11/2000,2000,prevention of premature LH surges in women undergoing controlled ovarian stimulation,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-10-29,2000-08-11,287,5.659482215759621,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,287,5.659482215759621
Kaletra,"lopinavir, ritonavir",Abbott Laboratories,NDA,21226,21251,NA,Capsule,Oral,Solution,Oral,NA,NA,6/1/2000,9/15/2000,2000,in combination with other antiretroviral agents for the treatment of HIV-1 infections in adults and pediatric patients age six months and older,NA,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,NA,2000-06-01,2000-09-15,106,4.663439094112067,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,106,4.663439094112067
Trisenox,arsenic trioxide,Cell Therapeutics,NDA,21248,NA,NA,Injectable,Injection,NA,NA,NA,NA,3/28/2000,9/25/2000,2000,"indicated for induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression",NA,Priority,Yes,No,N/A,Yes,N/A,N/A,N/A,NA,2000-03-28,2000-09-25,181,5.198497031265826,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,181,5.198497031265826
Mifeprex,mifepristone,Population Council,NDA,20687,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/18/1996,9/28/2000,2000,indicated for medical termination of intrauterine pregnancy through 49 days’ pregnancy,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,1996-03-18,2000-09-28,1655,7.411556287811163,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,1655,7.411556287811163
Myobloc,botulinum toxin type B,Elan Pharmaceuticals,BLA,103846,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/22/1998,12/8/2000,2000,treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia,NA,Standard,Yes,No,N/A,No,N/A,N/A,N/A,NA,1998-12-22,2000-12-08,717,6.57507584059962,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,717,6.57507584059962
Angiomax,bivalirudin,The Medicines Company,NDA,20873,NA,NA,Injectable,Intravenous,NA,NA,NA,NA,12/23/1997,12/15/2000,2000,indicated for use as an anticoagulant in conjunction with aspirin in patients with unstable angina undergoing percutaneous transluminal coronary angioplasty (PTCA),NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-12-23,2000-12-15,1088,6.992096427415888,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1088,6.992096427415888
Starlix,nateglinide,Novartis Pharmaceuticals,NDA,21204,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/17/1999,12/22/2000,2000,"indicated  as  monotherapy  to  lower  blood  glucose  in  patients  with  Type  2  diabetes (non-insulin   dependent   diabetes   mellitus,   NIDDM)   whose   hyperglycemia   cannot   be adequately controlled by diet and physical exercise and who have not been chronically treated with other anti-diabetic agents; also indicated   for   use   in   combination   with   metformin in  patients   whose hyperglycemia  is  inadequately  controlled  with  metformin,  Starlix    may  be  added  to,  but  not substituted for, metformin",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-17,2000-12-22,371,5.916202062607435,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,371,5.916202062607435
Peg-Intron,peginterferon alfa-2b,Schering,BLA,103949,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/23/1999,1/19/2001,2001,treatment of chronic hepatitis C in patients not previously treated with interferon alfa who have compensated liver disease and are at least 18 years of age,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-23,2001-01-19,393,5.973809611869261,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,393,5.973809611869261
Cancidas,caspofungin acetate,Merck Research Laboratories,NDA,21227,NA,NA,Powder,Intravenous,NA,NA,NA,NA,7/28/2000,1/26/2001,2001,treatment of invasive aspergillosis in patients who are refractory to or intolerant of other therapies,NA,Priority,No,No,N/A,Yes,N/A,N/A,N/A,NA,2000-07-28,2001-01-26,182,5.204006687076795,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,182,5.204006687076795
Geodon,ziprasidone hydrochloride,Pfizer Central Research,NDA,20825,NA,NA,Capsule,Oral,NA,NA,NA,NA,3/17/1997,2/5/2001,2001,treatment of schizophrenia,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-03-17,2001-02-05,1421,7.259116128097101,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1421,7.259116128097101
Foradil,formoterol fumarate,Novartis Pharmaceuticals,NDA,20831,NA,NA,Powder,Inhalation,NA,NA,NA,NA,6/26/1997,2/16/2001,2001,"indicated for the long-term, administration in the maintenance treatment of asthma and in the prevention of bronchospasm in adults and children 5 years of age and older with reversible obstructive airways disease, including patients with symptoms of nocturnal asthma; also indicated for the acute prevention of exercise-induced bronchospasm (EIB) in adults and children 12 years of age and older, when administered on an occasional, as-needed basis",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1997-06-26,2001-02-16,1331,7.193685818395112,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1331,7.193685818395112
Reminyl,galantamine hydrobromide,Janssen Research Foundation,NDA,21169,NA,NA,Tablet,Oral,NA,NA,NA,NA,9/29/1999,2/28/2001,2001,treatment of mild to moderate dementia of the Alzheimer's type,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-09-29,2001-02-28,518,6.249975242259483,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,518,6.249975242259483
Travatan,travoprost,Alcon Research,NDA,21257,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,7/7/2000,3/16/2001,2001,indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,2000-07-07,2001-03-16,252,5.529429087511423,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,252,5.529429087511423
Lumigan,bimatoprost,Allergan,NDA,21275,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,9/18/2000,3/16/2001,2001,indicated for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,2000-09-18,2001-03-16,179,5.187385805840755,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,179,5.187385805840755
Campath,alemtuzumab,Millennium and ILEX Partners,BLA,103948,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/23/1999,5/7/2001,2001,treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy,NA,Priority,Yes,Yes,N/A,Yes,N/A,N/A,N/A,NA,1999-12-23,2001-05-07,501,6.2166061010848646,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,501,6.2166061010848646
Axert,almotriptan malate,Pharmacia and Upjohn,NDA,21001,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/20/1999,5/7/2001,2001,indicated for the acute treatment of migraine with or without aura in adults,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-20,2001-05-07,504,6.222576268071369,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,504,6.222576268071369
Gleevec,imatinib mesylate,Novartis Pharmaceuticals,NDA,21335,NA,NA,Capsule,Oral,NA,NA,NA,NA,2/27/2001,5/10/2001,2001,"indicated for the treatment of patients with chronic myeloid leukemia (CML) in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy",NA,Priority,Yes,Yes,N/A,Yes,N/A,N/A,N/A,NA,2001-02-27,2001-05-10,72,4.276666119016055,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,72,4.276666119016055
Yasmin,"drospirenone,ethinyl estradiol",Berlex Laboratories,NDA,21098,NA,NA,Tablet,Oral,NA,NA,NA,NA,5/17/1999,5/11/2001,2001,indicated for the prevention of pregnancy in women who elect to use an oral contraceptive,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-05-17,2001-05-11,725,6.586171654854675,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,725,6.586171654854675
Definity,perflutren lipid microsphere,Dupont Pharmaceuticals,NDA,21064,NA,NA,Injectable,Intravenous,NA,NA,NA,NA,12/9/1998,7/31/2001,2001,indicated for use in patients with suboptimal echocardiograms to opacify the left ventricular chamber and to improve the delineation of the left ventricular endocardial border,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1998-12-09,2001-07-31,965,6.872128101338986,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,965,6.872128101338986
Natrecor,nesiritide,Scios,NDA,20920,NA,NA,For Solution,Intravenous,NA,NA,NA,NA,4/27/1998,8/10/2001,2001,treatment of patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1998-04-27,2001-08-10,1201,7.0909098220799835,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1201,7.0909098220799835
Zometa,zoledronic acid,Novartis Pharmaceuticals,NDA,21223,NA,NA,Injectable,Intravenous,NA,NA,NA,NA,12/21/1999,8/20/2001,2001,treatment of hypercalcemia of malignancy,NA,Priority,Yes,No,N/A,No,N/A,N/A,N/A,NA,1999-12-21,2001-08-20,608,6.410174881966167,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,608,6.410174881966167
Spectracef,cefditoren pivoxil,TAP Pharmaceutical Products,NDA,21222,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/29/1999,8/29/2001,2001,"treatment of acute bacterial exacerbation of chronic bronchitis, pharyngitis/tonsillitis, and uncomplicated skin and skin structure infections",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-29,2001-08-29,609,6.411818267709897,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,609,6.411818267709897
Aranesp,darbepoetin alfa,Amgen,BLA,103951,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/28/1999,9/17/2001,2001,"treatment of anemia associated with chronic renal failure, including patients on dialysis and patients not on dialysis",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-28,2001-09-17,629,6.444131256700441,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,629,6.444131256700441
NuvaRing,"etonogestrel, ethinyl estradiol",Organon,NDA,21187,NA,NA,Ring,Vaginal,NA,NA,NA,NA,12/28/1999,10/3/2001,2001,indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-28,2001-10-03,645,6.4692503167957724,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,645,6.4692503167957724
Viread,tenofovir disoproxil fumarate,Gilead Sciences,NDA,21356,NA,NA,Tablet,Oral,NA,NA,NA,NA,5/1/2001,10/26/2001,2001,in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults,NA,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,NA,2001-05-01,2001-10-26,178,5.181783550292085,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,178,5.181783550292085
Frova,frovatriptan,Elan Pharmaceuticals,NDA,21006,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/29/1999,11/8/2001,2001,acute treatment of migraine,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-01-29,2001-11-08,1014,6.921658184151129,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1014,6.921658184151129
Kineret,anakinra,Amgen,BLA,103950,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/28/1999,11/14/2001,2001,"indicated for the reduction in signs and symptoms of moderately to severely active rheumatoid arthritis, in patients 18 years of age or older who have failed one or more disease modifying antirheumatic drugs (DMARDs)",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-12-28,2001-11-14,687,6.532334292222349,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,687,6.532334292222349
Bextra,valdecoxib,GD Searle,NDA,21341,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/16/2001,11/16/2001,2001,indicated for the relief of signs and symptoms of osteoarthritis and adult rheumatoid arthritis and for the treatment of primary dysmenorrhea,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2001-01-16,2001-11-16,304,5.717027701406222,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,304,5.717027701406222
Avodart,dutasteride,GlaxoSmithKline,NDA,21319,NA,NA,Capsule,Oral,NA,NA,NA,NA,12/21/2000,11/20/2001,2001,treatment of symptomatic benign prostatic hyperplasia in men with an enlarged prostate gland,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2000-12-21,2001-11-20,334,5.811140992976701,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,334,5.811140992976701
Ortho Evra,"norelgestromin, ethinyl estradiol",RW Johnson Pharmaceutical Research,NDA,21180,NA,NA,"Film, Extended Release",Transdermal,NA,NA,NA,NA,12/21/2000,11/20/2001,2001,indicated for the prevention of pregnancy,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2000-12-21,2001-11-20,334,5.811140992976701,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,334,5.811140992976701
Tracleer,bosentan,Actelion Pharmaceuticals,NDA,21290,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/17/2000,11/20/2001,2001,indicated for the treatment of pulmonary arterial hypertension,NA,Standard,Yes,No,N/A,No,N/A,N/A,N/A,NA,2000-11-17,2001-11-20,368,5.908082938168931,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,368,5.908082938168931
Invanz,ertapenem sodium,Merck,NDA,21337,NA,NA,Injectable,"Intramuscular, Intravenous",NA,NA,NA,NA,11/30/2000,11/21/2001,2001,"treatment of complicated intra-abdominal infections; complicated skin and skin structure infections; community acquired pneumonia; complicated urinary tract infections including pyelonephritis; acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2000-11-30,2001-11-21,356,5.87493073085203,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,356,5.87493073085203
Xigris,drotrecogin alfa,Eli Lilly,BLA,125029,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/26/2001,11/21/2001,2001,indicated for the reduction of mortality in adult patients with severe sepsis (sepsis associated with acute organ dysfunction) who have a high risk of death,NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,2001-01-26,2001-11-21,299,5.700443573390687,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,299,5.700443573390687
Arixtra,fondaparinux sodium,Fonda BV,NDA,21345,NA,NA,Injectable,Subcutaneous,NA,NA,NA,NA,2/15/2001,12/7/2001,2001,"indicated for the prophylaxis of deep vein thrombosis, which may lead to pulmonary embolism, in patients undergoing hip fracture surgery, hip replacement surgery, or knee replacement surgery",NA,Priority,No,No,N/A,No,N/A,N/A,N/A,NA,2001-02-15,2001-12-07,295,5.68697535633982,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,295,5.68697535633982
Elidel,pimecrolimus,Novartis Pharmaceuticals,NDA,21302,NA,NA,Cream,Topical,NA,NA,NA,NA,12/15/2000,12/13/2001,2001,"short-term and intermittent long-term therapy in the treatment of mild to moderate atopic dermatitis in non-immunocompromised patients 2 years of age and older, in whom the use of alternative, conventional therapies is deemed inadvisable because of potential risks, or in the treatment of patients who are not adequately responsive to or intolerant of alternative, conventional therapies",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2000-12-15,2001-12-13,363,5.8944028342648505,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,363,5.8944028342648505
Clarinex,desloratadine,Schering,NDA,21165,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/21/1999,12/21/2001,2001,indicated for the relief of the nasal and non-nasal symptoms of seasonal allergic rhinitis in patients 12 years of age and older,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1999-10-21,2001-12-21,792,6.674561391814426,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,792,6.674561391814426
Orfadin,nitisinone,Swedish Orphan,NDA,21232,NA,NA,Capsule,Oral,NA,NA,NA,NA,9/8/2000,1/18/2002,2002,indicated as adjunctive therapy to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1,NA,Priority,Yes,No,N/A,Yes,N/A,N/A,N/A,NA,2000-09-08,2002-01-18,497,6.208590026096629,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,497,6.208590026096629
Neulasta,pegfilgrastim,Amgen,BLA,125031,NA,NA,Injectable,Injection,NA,NA,NA,NA,4/2/2001,1/31/2002,2002,"indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2001-04-02,2002-01-31,304,5.717027701406222,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,304,5.717027701406222
Zevalin,ibritumomab tiuxetan,Idec Pharmaceuticals,BLA,125019,NA,NA,Injectable,Injection,NA,NA,NA,NA,11/1/2000,2/19/2002,2002,"as part of a specific therapeutic regimen including Rituximab, Indium-111, Ibritumomab Tiuxetan, and Yttrium-90 Ibritumomab Tiuxetan, is indicated for the treatment of patients with relapsed or refractory low-grade, follicular, or transformed B-cell non-Hodgkin's lymphoma, including patients with Rituximab (Rituxan) refractory follicular non-Hodgkin’s lymphoma",NA,Priority,Yes,Yes,N/A,Yes,N/A,N/A,N/A,NA,2000-11-01,2002-02-19,475,6.163314804034641,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,475,6.163314804034641
Rebif,interferon beta-1a,Serono,BLA,103780,NA,NA,Injectable,Injection,NA,NA,NA,NA,2/27/1998,3/7/2002,2002,treatment of patients with relapsing forms of multiple sclerosis to decrease the frequency of clinical exacerbations and delay the accumulation of physical disability,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1998-02-27,2002-03-07,1469,7.292337176173877,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1469,7.292337176173877
Faslodex,fulvestrant,AstraZeneca Pharmaceuticals,NDA,21344,NA,NA,Injectable,Intramuscular,NA,NA,NA,NA,3/28/2001,4/25/2002,2002,treatment of hormone receptor positive metastatic breast cancer in postmenopausal women with disease progression following antiestrogen therapy,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2001-03-28,2002-04-25,393,5.973809611869261,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,393,5.973809611869261
Benicar,olmesartan medoxomil,Sankyo,NDA,21286,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/25/2000,4/25/2002,2002,treatment of hypertension,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,2000-07-25,2002-04-25,639,6.459904454377535,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,639,6.459904454377535
